"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l1_g.10_bias","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable1_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar11_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence1_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.686,-0.079,0.017,0.017,-0.253,-1.003,-0.264,-0.264,-0.284,-1.002,-0.263,-0.263,0.393,-1.003,-0.261,-0.261,1,1,0.997,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.431,-0.018,0.01,0.01,-0.528,-1,-0.159,-0.159,-0.645,-1,-0.158,-0.158,0.393,-1,-0.157,-0.157,1,0.964,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.422,-0.027,0.005,0.005,-0.533,-0.999,-0.165,-0.165,-0.669,-0.999,-0.163,-0.163,0.388,-0.999,-0.163,-0.163,1,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.224,-0.045,0.001,0,-0.671,-0.996,-0.094,-0.094,-0.768,92226646926935.3,-0.092,-0.092,0.388,-0.996,-0.092,-0.092,1,0.738,0.912,0.906,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.23,-0.025,0.005,0.005,-0.672,-0.998,-0.09,-0.09,-0.771,71982217089391.4,-0.089,-0.089,0.39,-0.999,-0.089,-0.089,1,0.842,0.826,0.819,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.26,0.008,0.008,0.008,0.26,0.008,0.008,0.008,0.281,0.006,0.007,0.007,0.524,0.008,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.25,-0.003,-0.003,-0.003,0.25,-0.003,-0.003,-0.003,0.273,-0.003,-0.003,-0.003,0.518,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.148,0.003,0.003,0.003,0.148,0.003,0.003,0.003,0.173,0.004,0.003,0.003,0.521,0.003,0.003,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.144,0,0,0,0.144,0,0,0,0.164,0.001,0,0,0.518,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.077,0.001,0.001,0.001,0.077,0.001,0.001,0.001,0.087,0.001,0.001,0.001,0.519,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.075,-0.002,-0.002,-0.002,0.075,-0.002,-0.002,-0.002,0.078,-0.003,-0.002,-0.002,0.517,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.489,-0.128,0.067,0.067,1.377,-0.471,0.047,0.047,1.436,-0.472,0.049,0.049,1.486,-0.526,0.049,0.049,0.971,1,0.976,0.977,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.437,-0.134,0.034,0.034,1.322,-0.469,0.019,0.019,1.387,-0.474,0.02,0.02,1.436,-0.524,0.02,0.02,0.985,1,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.342,-0.063,0.032,0.031,1.159,-0.461,0.02,0.02,1.367,-0.468,0.021,0.021,1.42,-0.517,0.021,0.021,0.947,0.994,0.993,0.993,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.333,-0.066,0.022,0.022,1.143,-0.463,0.012,0.012,1.358,-0.47,0.013,0.013,1.413,-0.521,0.013,0.013,0.951,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.165,-0.01,0.029,0.029,0.808,-0.454,0.023,0.023,1.351,-0.464,0.023,0.023,1.409,-0.51,0.023,0.023,0.884,0.764,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,1.147,-0.027,0.007,0.007,0.776,-0.47,0.001,0.001,1.346,-0.477,0.002,0.002,1.406,-0.529,0.002,0.002,0.853,0.658,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,1.419,-0.142,0.211,0.205,-0.026,-1.321,-0.225,-0.225,-0.19,-1.321,-0.226,-0.226,0.791,-1.32,-0.221,-0.221,0.963,0.926,0.987,0.987,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,1.288,-0.316,0.038,0.038,-0.057,-1.324,-0.278,-0.278,-0.259,-1.324,-0.277,-0.277,0.754,-1.324,-0.274,-0.274,0.967,0.951,0.99,0.992,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,1.011,-0.114,0.046,0.047,-0.651,-1.322,-0.128,-0.128,-0.864,9801656162993.53,-0.127,-0.127,0.776,-1.322,-0.125,-0.125,0.984,0.924,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,0.963,-0.191,0.011,0.011,-0.695,-1.323,-0.159,-0.159,-1.005,4019993832565.79,-0.158,-0.158,0.748,-1.323,-0.155,-0.155,0.993,0.91,0.995,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,0.665,-0.079,0.007,0.007,-1.004,-1.324,-0.08,-0.08,-1.101,7436230430538.08,-0.077,-0.077,0.754,-1.324,-0.077,-0.077,0.998,0.928,0.952,0.955,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,0.661,-0.094,0.012,0.012,-1.019,-1.323,-0.076,-0.076,-1.173,1983658920390.75,-0.074,-0.074,0.752,-1.323,-0.074,-0.074,1,0.905,0.94,0.94,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.758,0,0,0,0.758,0,0,0,0.572,0,0,0,1.612,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.75,0,0,0,0.75,0,0,0,0.516,-0.002,-0.001,-0.001,1.62,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.337,0.003,0.003,0.003,0.337,0.003,0.003,0.003,0.113,0.002,0.002,0.002,1.615,0.003,0.003,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.334,0.002,0.002,0.002,0.334,0.002,0.002,0.002,0.109,0.003,0.002,0.002,1.623,0.002,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.156,0,0,0,0.156,0,0,0,0.026,0,0,0,1.619,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.156,0.001,0.001,0.001,0.156,0.001,0.001,0.001,0.025,0,0.001,0.001,1.62,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.015,0.037,0.015,0.012,-0.227,-0.226,-0.224,-0.224,-0.228,-0.225,-0.224,-0.224,-0.227,-0.22,-0.224,-0.224,0.918,0.908,0.923,0.931,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.009,0.032,0.007,0.007,-0.237,-0.235,-0.235,-0.235,-0.237,-0.234,-0.235,-0.235,-0.237,-0.23,-0.235,-0.235,0.897,0.875,0.903,0.906,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.015,-0.006,-0.013,-0.013,-0.237,-0.236,-0.233,-0.233,-0.238,-0.234,-0.233,-0.233,-0.239,-0.23,-0.233,-0.233,0.944,0.943,0.937,0.939,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.012,-0.003,-0.01,-0.011,-0.246,-0.246,-0.244,-0.244,-0.246,-0.244,-0.244,-0.244,-0.247,-0.241,-0.244,-0.244,0.959,0.978,0.975,0.969,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.004,-0.002,-0.004,-0.004,-0.243,-0.244,-0.241,-0.241,-0.243,-0.242,-0.241,-0.241,-0.243,-0.241,-0.241,-0.241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.002,0,0,-0.24,-0.241,-0.239,-0.239,-0.239,-0.239,-0.238,-0.238,-0.239,-0.237,-0.239,-0.239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.012,0.016,0.013,0.013,-0.217,-0.293,-0.211,-0.211,-0.216,-0.291,-0.21,-0.21,-0.218,-0.293,-0.211,-0.211,0.966,0.949,0.951,0.959,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.002,0.004,0.001,0.001,-0.226,-0.304,-0.224,-0.224,-0.226,-0.305,-0.224,-0.224,-0.225,-0.305,-0.224,-0.224,0.952,0.953,0.949,0.951,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.002,0.003,0.001,0.002,-0.223,-0.264,-0.22,-0.22,-0.222,-0.264,-0.22,-0.22,-0.222,-0.264,-0.22,-0.22,0.953,0.96,0.928,0.937,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.005,0.004,0.004,-0.225,-0.265,-0.223,-0.223,-0.225,-0.265,-0.223,-0.223,-0.225,-0.266,-0.223,-0.223,0.988,0.993,0.969,0.974,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,-0.226,-0.247,-0.223,-0.223,-0.225,-0.247,-0.223,-0.223,-0.225,-0.247,-0.224,-0.224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,-0.229,-0.25,-0.228,-0.228,-0.229,-0.25,-0.228,-0.228,-0.229,-0.25,-0.228,-0.228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,-0.004,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.002,-0.002,-0.002,-0.002,-0.005,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.013,0.059,0.019,0.017,-0.232,-0.227,-0.224,-0.224,-0.234,-0.227,-0.225,-0.225,-0.235,-0.22,-0.224,-0.224,0.92,0.891,0.92,0.918,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.009,0.047,0.008,0.009,-0.242,-0.242,-0.24,-0.24,-0.243,-0.242,-0.242,-0.242,-0.242,-0.235,-0.24,-0.24,0.885,0.861,0.89,0.891,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.016,0.006,-0.013,-0.011,-0.241,-0.24,-0.237,-0.237,-0.242,-0.238,-0.237,-0.237,-0.243,-0.23,-0.237,-0.237,0.943,0.959,0.932,0.942,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.015,0.006,-0.015,-0.016,-0.245,-0.248,-0.246,-0.246,-0.243,-0.244,-0.245,-0.245,-0.242,-0.238,-0.245,-0.245,0.944,0.975,0.957,0.957,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.002,0.006,-0.003,-0.003,-0.241,-0.245,-0.24,-0.24,-0.24,-0.241,-0.24,-0.24,-0.24,-0.233,-0.24,-0.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.003,0.006,-0.003,-0.003,-0.244,-0.247,-0.243,-0.243,-0.245,-0.243,-0.243,-0.243,-0.245,-0.236,-0.243,-0.243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.005,-0.002,-0.001,-0.001,-0.209,-0.545,-0.209,-0.209,-0.208,-0.547,-0.209,-0.209,-0.205,-0.545,-0.208,-0.208,0.987,1,0.985,0.987,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.005,-0.003,-0.005,-0.005,-0.219,-0.547,-0.218,-0.218,-0.218,-0.546,-0.217,-0.217,-0.217,-0.548,-0.217,-0.217,0.997,1,0.995,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.007,0.013,0.009,0.009,-0.217,-0.521,-0.211,-0.211,-0.216,-0.523,-0.211,-0.211,-0.214,-0.522,-0.21,-0.21,0.96,0.958,0.959,0.962,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.004,0.005,0.002,0.002,-0.219,-0.528,-0.217,-0.217,-0.217,-0.528,-0.216,-0.216,-0.215,-0.529,-0.216,-0.216,0.982,0.987,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.003,0.005,0.001,0.001,-0.217,-0.513,-0.214,-0.214,-0.214,-0.511,-0.212,-0.212,-0.213,-0.513,-0.212,-0.212,0.993,1,0.921,0.92,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.003,0.004,0.002,0.002,-0.219,-0.513,-0.216,-0.216,-0.216,-0.513,-0.214,-0.214,-0.215,-0.513,-0.214,-0.214,1,1,0.965,0.965,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.002,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.006,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.006,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,-0.001,-0.001,-0.001,0.006,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0,0,0,0.011,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.001,0.001,0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.015,0.07,0.006,0.003,-0.234,-0.242,-0.237,-0.237,-0.234,-0.245,-0.24,-0.24,-0.229,-0.233,-0.237,-0.237,0.894,0.861,0.908,0.921,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.014,0.088,0.013,0.013,-0.239,-0.24,-0.236,-0.236,-0.24,-0.239,-0.237,-0.237,-0.24,-0.231,-0.236,-0.236,0.878,0.797,0.87,0.889,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.012,0.039,-0.005,-0.002,-0.233,-0.235,-0.229,-0.229,-0.233,-0.23,-0.228,-0.228,-0.234,-0.219,-0.229,-0.229,0.916,0.975,0.922,0.936,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.016,0.028,-0.015,-0.014,-0.247,-0.254,-0.248,-0.248,-0.246,-0.25,-0.247,-0.247,-0.246,-0.239,-0.247,-0.247,0.96,0.998,0.953,0.957,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.007,0.013,-0.01,-0.01,-0.244,-0.254,-0.245,-0.245,-0.241,-0.248,-0.245,-0.245,-0.239,-0.233,-0.244,-0.244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.002,0.023,0,0,-0.239,-0.249,-0.24,-0.24,-0.238,-0.245,-0.242,-0.242,-0.237,-0.228,-0.24,-0.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.025,-0.074,0.032,0.032,-0.175,-1.012,-0.167,-0.167,-0.173,-1.011,-0.165,-0.165,-0.172,-1.012,-0.166,-0.166,0.991,0.995,0.989,0.991,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.012,-0.082,0.016,0.016,-0.189,-1.011,-0.181,-0.181,-0.187,-1.009,-0.18,-0.18,-0.186,-1.011,-0.18,-0.18,0.999,0.995,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.009,-0.022,0.014,0.014,-0.196,-1.008,-0.186,-0.186,-0.193,191846262626.568,-0.185,-0.185,-0.19,-1.007,-0.181,-0.181,0.997,0.963,0.998,0.997,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.002,-0.034,0,0,-0.2,-1.011,-0.196,-0.196,-0.197,-1.011,-0.194,-0.194,-0.195,-1.011,-0.193,-0.193,0.999,0.993,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.006,-0.039,0.002,0.002,-0.198,-1.009,-0.197,-0.197,-0.19,126205241543978,-0.193,-0.193,-0.188,-1.009,-0.192,-0.192,0.984,0.749,0.995,0.994,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.007,-0.02,0.009,0.009,-0.199,-1.008,-0.193,-0.193,-0.193,99672513055084.8,-0.19,-0.19,-0.192,-1.008,-0.188,-0.188,1,0.829,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.003,0.004,0.004,0.004,-0.001,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.001,0.001,0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.008,-0.008,-0.008,-0.008,0,-0.004,-0.004,-0.004,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.003,-0.002,-0.002,-0.002,-0.003,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.006,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.001,-0.002,-0.002,-0.002,-0.001,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0.001,0.005,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.003,0.003,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.118,0.041,0.005,0.004,-0.121,-0.241,-0.208,-0.208,-0.107,-0.242,-0.21,-0.21,-0.07,-0.236,-0.207,-0.207,0.971,0.971,0.973,0.974,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.102,0.021,-0.013,-0.013,-0.131,-0.251,-0.22,-0.22,-0.115,-0.249,-0.219,-0.219,-0.078,-0.248,-0.22,-0.22,0.995,0.995,0.996,0.995,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.103,0.021,0.014,0.013,-0.156,-0.246,-0.212,-0.212,-0.117,-0.24,-0.209,-0.209,-0.072,-0.238,-0.212,-0.212,0.717,0.632,0.8,0.813,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.109,0.019,0.018,0.02,-0.158,-0.247,-0.215,-0.215,-0.121,-0.245,-0.215,-0.215,-0.077,-0.239,-0.215,-0.215,0.678,0.478,0.796,0.79,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.042,0.001,-0.008,-0.008,-0.19,-0.257,-0.222,-0.222,-0.131,-0.251,-0.221,-0.221,-0.082,-0.246,-0.221,-0.221,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.043,0.002,-0.007,-0.007,-0.192,-0.259,-0.224,-0.224,-0.133,-0.255,-0.225,-0.225,-0.081,-0.248,-0.224,-0.224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.348,0,0.018,0.018,-0.009,-0.745,-0.214,-0.214,0.038,-0.746,-0.214,-0.214,0.135,-0.745,-0.212,-0.212,0.997,1,0.994,0.993,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.337,-0.016,0.001,0.001,-0.029,-0.756,-0.233,-0.233,0.022,-0.757,-0.233,-0.233,0.122,-0.756,-0.232,-0.232,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.264,0.009,0.012,0.012,-0.123,-0.741,-0.213,-0.213,0.003,-0.743,-0.213,-0.213,0.127,-0.741,-0.211,-0.211,1,1,0.993,0.994,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.257,0,0.003,0.003,-0.134,-0.747,-0.223,-0.223,-0.001,-0.746,-0.221,-0.221,0.121,-0.747,-0.221,-0.221,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.178,-0.006,0.01,0.01,-0.231,-0.735,-0.214,-0.214,-0.018,-0.736,-0.211,-0.211,0.12,-0.735,-0.209,-0.209,0.59,0.926,0.94,0.93,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.176,-0.003,0.003,0.003,-0.233,-0.738,-0.217,-0.217,-0.015,-0.738,-0.214,-0.214,0.117,-0.738,-0.213,-0.213,0.452,0.961,0.978,0.976,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,0.039,-0.001,-0.001,-0.001,0.039,-0.001,-0.001,-0.001,0.026,0,0,0,0.175,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
