N_total;T_total;predictor.type;outcome.type;sdX.within;sdX.between;g.00;g.01;g.10;sd.u0;sd.u1;sd.e;true_cluster_means;l1_g.10_bias;l2_g.10_bias;l3a_g.10_bias;l3a_g.01_bias;l4_g.10_bias;l4_g.01_bias;g.exchangeable1_g.10_bias;g.exchangeable2_g.10_bias;g.exchangeable3_g.10_bias;g.exchangeable3_g.01_bias;g.exchangeable4_g.10_bias;g.exchangeable4_g.01_bias;g.ar11_g.10_bias;g.ar12_g.10_bias;g.ar13_g.10_bias;g.ar13_g.01_bias;g.ar14_g.10_bias;g.ar14_g.01_bias;g.independence1_g.10_bias;g.independence2_g.10_bias;g.independence3_g.10_bias;g.independence3_g.01_bias;g.independence4_g.10_bias;g.independence4_g.01_bias;l1_success;l2_success;l3a_success;l4_success;g.independence1_success;g.exchangeable1_success;g.ar11_success;g.independence2_success;g.exchangeable2_success;g.ar12_success;g.independence3_success;g.ar13_success;g.independence4_success;g.exchangeable4_success;g.ar14_success
200;10;continuous;binary;1;1;0;0;1.5;1;0;1;FALSE;0.004;0.005;0.002;0.007;0.002;0.005;-0.219;-0.528;-0.217;-0.219;-0.217;-0.002;-0.217;-0.528;-0.216;-0.215;-0.216;0.002;-0.215;-0.529;-0.216;-0.212;-0.216;0.004;0.982;0.987;0.992;0.99;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;1;0;0;1.5;1;0;1;FALSE;0.003;0.005;0.001;-0.006;0.001;-0.009;-0.217;-0.513;-0.214;-0.222;-0.214;-0.008;-0.214;-0.511;-0.212;-0.213;-0.212;-0.001;-0.213;-0.513;-0.212;-0.21;-0.212;0.001;0.993;1;0.921;0.92;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;1;0;0;1.5;1;0;1;FALSE;0.003;0.004;0.002;-0.005;0.002;-0.007;-0.219;-0.513;-0.216;-0.228;-0.216;-0.012;-0.216;-0.513;-0.214;-0.217;-0.214;-0.003;-0.215;-0.513;-0.214;-0.215;-0.214;-0.001;1;1;0.965;0.965;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;-0.001;-0.001;-0.001;-0.003;-0.001;-0.002;-0.001;-0.001;-0.001;-0.003;-0.001;-0.002;0;0;0;-0.001;0;-0.001;-0.002;-0.001;-0.001;-0.003;-0.001;-0.002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;0.002;0.001;0.001;0.015;0.001;0.013;0.002;0.001;0.001;0.015;0.001;0.013;0.002;0.001;0.001;0.016;0.001;0.015;0.006;0.001;0.001;0.015;0.001;0.013;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;-0.001;-0.001;-0.001;-0.02;-0.001;-0.019;-0.001;-0.001;-0.001;-0.02;-0.001;-0.019;-0.001;-0.001;-0.001;-0.019;-0.001;-0.019;-0.006;-0.001;-0.001;-0.02;-0.001;-0.019;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;0.002;0.001;0.001;0.017;0.001;0.015;0.002;0.001;0.001;0.017;0.001;0.015;0;-0.001;-0.001;0.01;-0.001;0.01;0.006;0.001;0.001;0.017;0.001;0.015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;0.002;0.001;0.001;0.048;0.001;0.047;0.002;0.001;0.001;0.048;0.001;0.047;0;0;0;0.046;0;0.047;0.011;0.001;0.001;0.048;0.001;0.047;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;continuous;1;1;0;0;1.5;1;0;1;FALSE;-0.001;-0.001;-0.001;0.001;-0.001;0.002;-0.001;-0.001;-0.001;0.001;-0.001;0.002;0.001;0.001;0.001;-0.003;0.001;-0.004;0;-0.001;-0.001;0.001;-0.001;0.002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;0.015;0.07;0.006;0.029;0.003;0.023;-0.234;-0.242;-0.237;-0.219;-0.237;0.018;-0.234;-0.245;-0.24;-0.219;-0.24;0.021;-0.229;-0.233;-0.237;-0.219;-0.237;0.018;0.894;0.861;0.908;0.921;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;0.014;0.088;0.013;0.021;0.013;0.005;-0.239;-0.24;-0.236;-0.241;-0.236;-0.005;-0.24;-0.239;-0.237;-0.242;-0.237;-0.005;-0.24;-0.231;-0.236;-0.24;-0.236;-0.005;0.878;0.797;0.87;0.889;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;-0.012;0.039;-0.005;-0.023;-0.002;-0.017;-0.233;-0.235;-0.229;-0.233;-0.229;-0.004;-0.233;-0.23;-0.228;-0.232;-0.228;-0.004;-0.234;-0.219;-0.229;-0.234;-0.229;-0.005;0.916;0.975;0.922;0.936;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;-0.016;0.028;-0.015;-0.022;-0.014;-0.007;-0.247;-0.254;-0.248;-0.242;-0.248;0.006;-0.246;-0.25;-0.247;-0.243;-0.247;0.004;-0.246;-0.239;-0.247;-0.243;-0.247;0.005;0.96;0.998;0.953;0.957;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;-0.007;0.013;-0.01;0.003;-0.01;0.012;-0.244;-0.254;-0.245;-0.232;-0.245;0.012;-0.241;-0.248;-0.245;-0.232;-0.245;0.012;-0.239;-0.233;-0.244;-0.233;-0.244;0.012;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;binary;1;3;0;0;1.5;1;0;1;FALSE;0.002;0.023;0;0.007;0;0.007;-0.239;-0.249;-0.24;-0.232;-0.24;0.009;-0.238;-0.245;-0.242;-0.232;-0.242;0.009;-0.237;-0.228;-0.24;-0.232;-0.24;0.008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;0.025;-0.074;0.032;0.031;0.032;-0.001;-0.175;-1.012;-0.167;-0.169;-0.167;-0.002;-0.173;-1.011;-0.165;-0.167;-0.165;-0.002;-0.172;-1.012;-0.166;-0.167;-0.166;-0.001;0.991;0.995;0.989;0.991;1;1;1;1;1;1;1;1;1;1;1
200;5;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;0.012;-0.082;0.016;0.015;0.016;-0.001;-0.189;-1.011;-0.181;-0.186;-0.181;-0.004;-0.187;-1.009;-0.18;-0.184;-0.18;-0.004;-0.186;-1.011;-0.18;-0.183;-0.18;-0.003;0.999;0.995;0.998;0.998;1;1;1;1;1;1;1;1;1;1;1
100;10;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;0.009;-0.022;0.014;0.01;0.014;-0.004;-0.196;-1.008;-0.186;-0.194;-0.186;-0.009;-0.193;1.91846E+11;-0.185;-0.19;-0.185;-0.005;-0.19;-1.007;-0.181;-0.188;-0.181;-0.006;0.997;0.963;0.998;0.997;1;1;1;1;1;1;1;1;1;1;1
200;10;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;-0.002;-0.034;0;0;0;0;-0.2;-1.011;-0.196;-0.199;-0.196;-0.003;-0.197;-1.011;-0.194;-0.195;-0.194;-0.001;-0.195;-1.011;-0.193;-0.194;-0.193;0;0.999;0.993;0.999;0.999;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;0.006;-0.039;0.002;0.01;0.002;0.009;-0.198;-1.009;-0.197;-0.194;-0.197;0.002;-0.19;1.26205E+14;-0.193;-0.187;-0.193;0.006;-0.188;-1.009;-0.192;-0.185;-0.192;0.006;0.984;0.749;0.995;0.994;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;3;0;0;1.5;1;0;1;FALSE;0.007;-0.02;0.009;0.007;0.009;-0.002;-0.199;-1.008;-0.193;-0.2;-0.193;-0.007;-0.193;9.96725E+13;-0.19;-0.193;-0.19;-0.003;-0.192;-1.008;-0.188;-0.191;-0.188;-0.003;1;0.829;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;0;0.001;0.001;-0.003;0.001;-0.003;0;0.001;0.001;-0.003;0.001;-0.003;0.003;0.004;0.004;-0.002;0.004;-0.006;-0.001;0.001;0.001;-0.003;0.001;-0.003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;-0.001;-0.001;-0.001;0.001;-0.001;0.002;-0.001;-0.001;-0.001;0.001;-0.001;0.002;0.001;0.001;0.001;0.002;0.001;0;0;-0.001;-0.001;0.001;-0.001;0.002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;-0.004;-0.004;-0.004;0.001;-0.004;0.005;-0.004;-0.004;-0.004;0.001;-0.004;0.005;-0.008;-0.008;-0.008;0.002;-0.008;0.01;0;-0.004;-0.004;0.001;-0.004;0.005;1;0.999;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;-0.003;-0.002;-0.002;-0.009;-0.002;-0.007;-0.003;-0.002;-0.002;-0.009;-0.002;-0.007;-0.002;-0.002;-0.002;-0.008;-0.002;-0.007;-0.006;-0.002;-0.002;-0.009;-0.002;-0.007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;-0.001;-0.002;-0.002;0.01;-0.002;0.012;-0.001;-0.002;-0.002;0.01;-0.002;0.012;-0.001;-0.001;-0.001;0.009;-0.001;0.01;0.005;-0.002;-0.002;0.01;-0.002;0.012;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;continuous;1;3;0;0;1.5;1;0;1;FALSE;0.003;0.003;0.003;0;0.003;-0.003;0.003;0.003;0.003;0;0.003;-0.003;0.002;0.002;0.002;-0.001;0.002;-0.003;0.001;0.003;0.003;0;0.003;-0.003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.118;0.041;0.005;-0.483;0.004;-0.487;-0.121;-0.241;-0.208;-0.777;-0.208;-0.569;-0.107;-0.242;-0.21;-0.775;-0.21;-0.565;-0.07;-0.236;-0.207;-0.777;-0.207;-0.57;0.971;0.971;0.973;0.974;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.102;0.021;-0.013;-0.498;-0.013;-0.485;-0.131;-0.251;-0.22;-0.785;-0.22;-0.565;-0.115;-0.249;-0.219;-0.784;-0.219;-0.565;-0.078;-0.248;-0.22;-0.785;-0.22;-0.565;0.995;0.995;0.996;0.995;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.103;0.021;0.014;-0.243;0.013;-0.261;-0.156;-0.246;-0.212;-0.634;-0.212;-0.422;-0.117;-0.24;-0.209;-0.633;-0.209;-0.423;-0.072;-0.238;-0.212;-0.632;-0.212;-0.42;0.717;0.632;0.8;0.813;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.109;0.019;0.018;-0.275;0.02;-0.293;-0.158;-0.247;-0.215;-0.651;-0.215;-0.436;-0.121;-0.245;-0.215;-0.649;-0.215;-0.435;-0.077;-0.239;-0.215;-0.65;-0.215;-0.436;0.678;0.478;0.796;0.79;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.042;0.001;-0.008;-0.207;-0.008;-0.199;-0.19;-0.257;-0.222;-0.54;-0.222;-0.318;-0.131;-0.251;-0.221;-0.538;-0.221;-0.317;-0.082;-0.246;-0.221;-0.538;-0.221;-0.317;1;1;0.999;0.999;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;binary;1;1;0;1;1.5;1;0;1;FALSE;0.043;0.002;-0.007;-0.188;-0.007;-0.182;-0.192;-0.259;-0.224;-0.533;-0.224;-0.309;-0.133;-0.255;-0.225;-0.527;-0.225;-0.303;-0.081;-0.248;-0.224;-0.526;-0.224;-0.302;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.348;0;0.018;-0.149;0.018;-0.167;-0.009;-0.745;-0.214;-0.512;-0.214;-0.299;0.038;-0.746;-0.214;-0.508;-0.214;-0.294;0.135;-0.745;-0.212;-0.504;-0.212;-0.292;0.997;1;0.994;0.993;1;1;1;1;1;1;1;1;1;1;1
200;5;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.337;-0.016;0.001;-0.153;0.001;-0.154;-0.029;-0.756;-0.233;-0.527;-0.233;-0.294;0.022;-0.757;-0.233;-0.523;-0.233;-0.29;0.122;-0.756;-0.232;-0.519;-0.232;-0.288;1;1;0.999;0.999;1;1;1;1;1;1;1;1;1;1;1
100;10;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.264;0.009;0.012;-0.069;0.012;-0.081;-0.123;-0.741;-0.213;-0.44;-0.213;-0.227;0.003;-0.743;-0.213;-0.433;-0.213;-0.22;0.127;-0.741;-0.211;-0.43;-0.211;-0.218;1;1;0.993;0.994;1;1;1;1;1;1;1;1;1;1;1
200;10;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.257;0;0.003;-0.08;0.003;-0.082;-0.134;-0.747;-0.223;-0.452;-0.223;-0.229;-0.001;-0.746;-0.221;-0.443;-0.221;-0.221;0.121;-0.747;-0.221;-0.439;-0.221;-0.217;1;1;0.999;0.999;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.178;-0.006;0.01;-0.033;0.01;-0.04;-0.231;-0.735;-0.214;-0.414;-0.214;-0.2;-0.018;-0.736;-0.211;-0.396;-0.211;-0.185;0.12;-0.735;-0.209;-0.391;-0.209;-0.182;0.59;0.926;0.94;0.93;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;1;0;1;1.5;1;0;1;FALSE;0.176;-0.003;0.003;-0.04;0.003;-0.043;-0.233;-0.738;-0.217;-0.419;-0.217;-0.202;-0.015;-0.738;-0.214;-0.402;-0.214;-0.188;0.117;-0.738;-0.213;-0.399;-0.213;-0.185;0.452;0.961;0.978;0.976;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.039;-0.001;-0.001;-0.479;-0.001;-0.478;0.039;-0.001;-0.001;-0.479;-0.001;-0.478;0.026;0;0;-0.474;0;-0.474;0.175;-0.001;-0.001;-0.479;-0.001;-0.478;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.039;0;0;-0.485;0;-0.485;0.039;0;0;-0.485;0;-0.485;0.026;0;0;-0.485;0;-0.485;0.174;0;0;-0.485;0;-0.485;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.019;0;0;-0.343;0;-0.343;0.019;0;0;-0.343;0;-0.343;0.007;0;0;-0.344;0;-0.343;0.167;0;0;-0.343;0;-0.343;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.02;0.001;0.001;-0.314;0.001;-0.315;0.02;0.001;0.001;-0.314;0.001;-0.315;0.01;0.003;0.003;-0.317;0.003;-0.32;0.175;0.001;0.001;-0.314;0.001;-0.315;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.012;0.002;0.002;-0.185;0.002;-0.187;0.012;0.002;0.002;-0.185;0.002;-0.187;0.004;0.002;0.002;-0.19;0.002;-0.192;0.176;0.002;0.002;-0.185;0.002;-0.187;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;continuous;1;1;0;1;1.5;1;0;1;FALSE;0.01;0;0;-0.193;0;-0.193;0.01;0;0;-0.193;0;-0.193;0.001;-0.001;-0.001;-0.197;-0.001;-0.196;0.172;0;0;-0.193;0;-0.193;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.443;0.113;0.023;-0.112;0.022;-0.135;0.149;-0.263;-0.191;-0.454;-0.191;-0.263;0.183;-0.265;-0.191;-0.454;-0.191;-0.262;0.261;-0.262;-0.19;-0.454;-0.19;-0.264;0.994;0.986;0.993;0.994;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.408;0.074;-0.008;-0.157;-0.008;-0.149;0.121;-0.283;-0.215;-0.489;-0.215;-0.274;0.158;-0.285;-0.216;-0.49;-0.216;-0.274;0.232;-0.282;-0.214;-0.489;-0.214;-0.275;0.992;0.999;0.995;0.995;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.337;0.04;-0.009;-0.039;-0.008;-0.03;0.031;-0.301;-0.225;-0.409;-0.225;-0.185;0.136;-0.301;-0.225;-0.407;-0.225;-0.183;0.236;-0.292;-0.224;-0.408;-0.224;-0.184;0.916;0.682;0.954;0.953;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.327;0.036;-0.008;-0.071;-0.008;-0.063;0.027;-0.298;-0.224;-0.431;-0.224;-0.206;0.131;-0.296;-0.224;-0.43;-0.224;-0.207;0.228;-0.289;-0.223;-0.43;-0.223;-0.207;0.957;0.543;0.985;0.984;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.222;0.038;0.001;-0.087;0.004;-0.097;-0.053;-0.288;-0.209;-0.404;-0.209;-0.195;0.125;-0.286;-0.209;-0.402;-0.209;-0.192;0.23;-0.273;-0.208;-0.401;-0.208;-0.193;0.98;1;0.915;0.891;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;binary;1;3;0;1;1.5;1;0;1;FALSE;0.224;0.028;-0.005;-0.047;-0.005;-0.042;-0.059;-0.299;-0.219;-0.387;-0.219;-0.168;0.129;-0.294;-0.218;-0.384;-0.218;-0.166;0.236;-0.285;-0.218;-0.383;-0.218;-0.165;1;1;0.935;0.937;1;1;1;1;1;1;1;1;1;1;1
100;5;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.704;-0.201;0.05;0.073;0.05;0.023;0.302;-1.19;-0.187;-0.327;-0.187;-0.14;0.353;-1.19;-0.189;-0.325;-0.189;-0.136;0.438;-1.19;-0.184;-0.32;-0.184;-0.137;0.992;0.893;0.991;0.989;1;1;1;1;1;1;1;1;1;1;1
200;5;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.676;-0.229;0.022;0.025;0.022;0.003;0.29;-1.192;-0.204;-0.351;-0.204;-0.147;0.345;-1.192;-0.204;-0.349;-0.204;-0.145;0.421;-1.192;-0.202;-0.347;-0.202;-0.145;0.998;0.807;0.998;0.999;1;1;1;1;1;1;1;1;1;1;1
100;10;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.599;-0.088;0.031;0.043;0.031;0.011;0.16;-1.186;-0.181;-0.312;-0.181;-0.131;0.322;1.91281E+13;-0.177;-0.305;-0.177;-0.128;0.429;-1.186;-0.176;-0.302;-0.176;-0.126;0.997;0.783;0.996;0.996;1;1;1;1;1;1;1;1;1;1;1
200;10;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.583;-0.109;0.014;0.023;0.014;0.008;0.143;-1.192;-0.2;-0.34;-0.2;-0.14;0.318;1.728E+13;-0.198;-0.334;-0.198;-0.136;0.412;-1.192;-0.197;-0.331;-0.197;-0.134;1;0.744;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.465;-0.044;0.011;0.021;0.011;0.011;-0.042;-1.186;-0.187;-0.316;-0.187;-0.128;0.302;7.33205E+13;-0.183;-0.303;-0.183;-0.119;0.414;-1.186;-0.182;-0.3;-0.182;-0.118;1;0.868;0.992;0.992;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;3;0;1;1.5;1;0;1;FALSE;0.452;-0.054;-0.001;0;-0.001;0.001;-0.051;-1.19;-0.201;-0.341;-0.201;-0.14;0.31;2.42951E+13;-0.197;-0.33;-0.197;-0.133;0.401;-1.19;-0.196;-0.328;-0.196;-0.132;1;0.911;1;0.999;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.181;-0.001;-0.001;-0.147;-0.001;-0.146;0.181;-0.001;-0.001;-0.147;-0.001;-0.146;0.12;-0.004;-0.003;-0.149;-0.003;-0.145;0.538;-0.001;-0.001;-0.147;-0.001;-0.146;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.183;0.002;0.002;-0.145;0.002;-0.146;0.183;0.002;0.002;-0.145;0.002;-0.146;0.122;-0.002;-0.001;-0.145;-0.001;-0.144;0.541;0.002;0.002;-0.145;0.002;-0.146;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.098;0.001;0.001;-0.072;0.001;-0.073;0.098;0.001;0.001;-0.072;0.001;-0.073;0.038;0.002;0.002;-0.07;0.002;-0.072;0.539;0.001;0.001;-0.072;0.001;-0.073;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.098;0.001;0.001;-0.083;0.001;-0.084;0.098;0.001;0.001;-0.083;0.001;-0.084;0.034;-0.001;-0.001;-0.088;-0.001;-0.087;0.536;0.001;0.001;-0.083;0.001;-0.084;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.055;0.004;0.004;-0.026;0.004;-0.029;0.055;0.004;0.004;-0.026;0.004;-0.029;0.012;0.003;0.003;-0.024;0.003;-0.027;0.548;0.004;0.004;-0.026;0.004;-0.029;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;continuous;1;3;0;1;1.5;1;0;1;FALSE;0.051;0;0;-0.042;0;-0.042;0.051;0;0;-0.042;0;-0.042;0.007;-0.002;-0.002;-0.042;-0.002;-0.04;0.538;0;0;-0.042;0;-0.042;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.351;-0.031;0.003;-1.397;0.003;-1.4;0.101;-0.325;-0.162;-1.812;-0.162;-1.65;0.152;-0.328;-0.162;-1.81;-0.162;-1.648;0.269;-0.341;-0.159;-1.808;-0.159;-1.649;0.994;0.999;0.996;0.995;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.341;-0.021;0.008;-1.493;0.009;-1.5;0.098;-0.308;-0.155;-1.887;-0.155;-1.732;0.147;-0.311;-0.156;-1.887;-0.156;-1.732;0.254;-0.324;-0.153;-1.885;-0.153;-1.732;0.999;1;1;0.998;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.256;-0.015;0.008;-0.89;0.007;-0.898;-0.009;-0.321;-0.164;-1.379;-0.164;-1.215;0.111;-0.321;-0.161;-1.378;-0.161;-1.217;0.255;-0.333;-0.162;-1.377;-0.162;-1.215;0.999;1;0.997;0.998;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.238;-0.03;-0.009;-0.939;-0.009;-0.93;-0.021;-0.329;-0.178;-1.418;-0.178;-1.24;0.104;-0.332;-0.177;-1.415;-0.177;-1.238;0.242;-0.342;-0.176;-1.411;-0.176;-1.236;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.155;-0.03;-0.011;-0.509;-0.011;-0.497;-0.108;-0.332;-0.177;-1.051;-0.177;-0.874;0.083;-0.333;-0.176;-1.037;-0.176;-0.861;0.236;-0.341;-0.175;-1.034;-0.175;-0.859;0.636;0.592;0.971;0.97;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;binary;1;1;0;3;1.5;1;0;1;FALSE;0.161;-0.021;-0.002;-0.572;-0.002;-0.571;-0.105;-0.324;-0.173;-1.104;-0.173;-0.931;0.086;-0.325;-0.171;-1.09;-0.171;-0.919;0.232;-0.333;-0.17;-1.088;-0.17;-0.917;0.594;0.474;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.651;-0.081;0.02;-0.42;0.019;-0.441;-0.364;-1.012;-0.374;-1.489;-0.374;-1.115;-0.426;-1.01;-0.372;-1.478;-0.372;-1.106;0.285;-1.012;-0.37;-1.471;-0.37;-1.101;1;0.991;0.995;0.994;1;1;1;1;1;1;1;1;1;1;1
200;5;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.627;-0.094;0.003;-0.464;0.003;-0.467;-0.38;-1.015;-0.389;-1.532;-0.389;-1.144;-0.46;-1.017;-0.389;-1.526;-0.389;-1.137;0.274;-1.015;-0.385;-1.512;-0.385;-1.127;1;0.997;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.396;-0.016;0.016;-0.232;0.015;-0.247;-0.598;-1.007;-0.3;-1.143;-0.3;-0.843;-0.716;-1.006;-0.296;-1.121;-0.296;-0.825;0.283;-1.006;-0.294;-1.108;-0.294;-0.814;1;0.965;0.999;1;1;1;1;1;1;1;1;1;1;1;1
200;10;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.381;-0.03;0.003;-0.256;0.003;-0.259;-0.61;-1.012;-0.314;-1.17;-0.314;-0.856;-0.738;-1.011;-0.311;-1.152;-0.311;-0.841;0.271;-1.012;-0.309;-1.141;-0.309;-0.831;1;0.988;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.207;-0.038;0.004;-0.124;0.004;-0.128;-0.723;-1.007;-0.259;-0.912;-0.259;-0.653;-0.805;1.19273E+14;-0.252;-0.874;-0.252;-0.623;0.273;-1.008;-0.25;-0.865;-0.25;-0.615;0.997;0.741;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;1;0;3;1.5;1;0;1;FALSE;0.202;-0.029;-0.001;-0.134;-0.001;-0.133;-0.726;-1.009;-0.267;-0.935;-0.267;-0.668;-0.811;9.826E+13;-0.261;-0.899;-0.261;-0.638;0.268;-1.009;-0.259;-0.89;-0.259;-0.631;1;0.834;1;1;1;1;1;1;1;1;1;1;1;1;1
